제목,브랜드,방,가격
I&U 쉐어하우스,홍대점 Room A,#여성전용 #셰어하우스,100 / 48만원 (1인실)
핀휠 쉐어하우스,신촌점 1인실,#여성전용 #셰어하우스,90 / 43만원 (1인실)
포코 쉐어하우스,홍대입구역점 Room A,#여성전용 #셰어하우스,54 / 27만원 (2인실)
바다,DMC : 2호 A Room,#여성전용 #셰어하우스,100 / 35만원 (2인실)
수수하우스 (SUSUHOUSE),연남점 2인실(싱글침대),#여성전용 #셰어하우스,100 / 35만원 (2인실)
달램쉐어하우스,성신여대점 1인실 큰방,#여성전용 #셰어하우스,50 / 24만원 (1인실)
하우스로그,안암5호점 twin room,#여성전용 #셰어하우스,70 / 35만원 (2인실)
코방,길음역점 Room B,#여성전용 #셰어하우스,110 / 52만원 (1인실)
원앤원하우스,길음역국민대_서경대점 2인실b,#여성전용 #셰어하우스,200 / 34만원 (2인실)
젤리 쉐어하우스,이대점 room B,#여성전용 #셰어하우스,600 / 41만원 (1인실)
호영이네 하우스,창신역점 Room A,#여성전용 #셰어하우스,110 / 50만원 (1인실)
에이블하우스,신촌 1호점 B1 B2,#여성전용 #셰어하우스,300 / 43만원 (2인실)
하늘,수유역2호점 Room D,#여성전용 #셰어하우스,50 / 30만원 (3인실)
외갓집에가자 쉐어하우스,덕성여대점 Room C,#여성전용 #셰어하우스,70 / 30만원 (1인실)
우주,24호점 Room C,#남성전용 #셰어하우스,96 / 41만원 (2인실)
우주,12호점 Room C,#여성전용 #셰어하우스,99 / 42만원 (2인실)
오희,고양점 Room A,#여성전용 #셰어하우스,100 / 40만원 (1인실)
리어반(Re:Urban),홍대점(성산동) Room A,#여성전용 #셰어하우스,50 / 45만원 (1인실)
사람앤하우스,미아점 Room A,#여성전용 #셰어하우스,74 / 37만원 (2인실)
소담 쉐어하우스,홍대 1호점 Room A,#여성전용 #셰어하우스,45 / 43만원 (2인실)
웨이브 쉐어하우스,홍대 1호점 2인실 2 (싱글2개),#여성전용 #셰어하우스,34 / 34만원 (2인실)
폼폼 쉐어하우스,돈암풍림점 Room-C,#여성전용 #셰어하우스,100 / 50만원 (1인실)
행복하셰어,홍대점 C Room(1인실),#여성전용 #셰어하우스,48 / 48만원 (1인실)
이실디,홍대점 Room A,#여성전용 #셰어하우스,90 / 45만원 (1인실)
잇츠하우스,홍대점 Room A,#여성전용 #셰어하우스,100 / 35만원 (3인실)
아띠 쉐어빌리지,단짠하우스 성신여대점 ROOM A 싱글룸,#여성전용 #셰어하우스,50 / 48만원 (1인실)
홈스케치,서강대점 203호,#여성전용 #셰어하우스,90 / 45만원 (1인실)
동거동락,5호 서울역점 B룸,#여성전용 #셰어하우스,104 / 52만원 (1인실)
라온 쉐어하우스,돈암점(성신여대) 2호실(2인실),#여성전용 #셰어하우스,60 / 30만원 (2인실)
하모하우스,서강대점_남성 방3,#남성전용 #셰어하우스,100 / 32만원 (3인실)
하모하우스,서강대점_여성 Room A,#여성전용 #셰어하우스,100 / 50만원 (1인실)
GROUND 쉐어하우스,홍대 05 C room,#여성전용 #셰어하우스,100 / 44만원 (2인실)
나인,홍대점 Room 2,#여성전용 #셰어하우스,100 / 38만원 (2인실)
핀휠 쉐어하우스,신촌1호점 2인실,#남성전용 #셰어하우스,80 / 33만원 (2인실)
GROUND 쉐어하우스,홍대 C room,#여성전용 #셰어하우스,100 / 44만원 (2인실)
하늘,수유역1호점 Room C,#여성전용 #셰어하우스,50 / 23만원 (2인실)
포근해 쉐어하우스,마포구청점 2인실 A,#여성전용 #셰어하우스,84 / 42만원 (2인실)
은행나무 쉐어하우스,홍대점 Room 204,#여성전용 #셰어하우스,0 / 45만원 (2인실)
하우스로그,안암 3호점 Twin Room A,#여성전용 #셰어하우스,70 / 35만원 (2인실)
바다,상암동 DMC 집 B Room,#여성전용 #셰어하우스,106 / 53만원 (1인실)
우주,60호점 Room D,#여성전용 #셰어하우스,110 / 47만원 (1인실)
Calm&Mood,숙대두번째 16호점 Room106,#여성전용 #셰어하우스,100 / 36만원 (2인실)
핀휠 쉐어하우스,홍대/망원점 1인실,#여성전용 #셰어하우스,90 / 43만원 (1인실)
쉐어하우스 플라이데어,마포구청역점 2인실 1,#여성전용 #셰어하우스,80 / 40만원 (2인실)
메죵드몽드,안암점 Room B,#여성전용 #셰어하우스,70 / 35만원 (2인실)
홈트리,성산점 Leaf Room,#성별무관 #셰어하우스,60 / 39만원 (1인실)
민우 쉐어하우스,동국대점 202호,#남성전용 #셰어하우스,88 / 46만원 (1인실)
우주,64호점 Room D,#여성전용 #셰어하우스,96 / 40만원 (2인실)
동거동락,13호 서울역점 E룸,#여성전용 #셰어하우스,113 / 52만원 (1인실)
팸하우스,충무로점 Room G,#여성전용 #셰어하우스,100 / 41만원 (2인실)
바다,성산동집 204호,#성별무관 #셰어하우스,5000 / 0만원 (1인실)
팸하우스,페퍼스하우스 충무로 1호점 B룸 (2인실),#여성전용 #셰어하우스,100 / 47만원 (2인실)
디어(Dear) 쉐어하우스,합정점 Room A,#여성전용 #셰어하우스,48 / 46만원 (1인실)
쉐어하우스 휴가,공덕역점 Room B,#여성전용 #셰어하우스,95 / 48만원 (2인실)
제곱하우스,2호점 (마포이안) Room 오렌지,#여성전용 #셰어하우스,150 / 54만원 (1인실)
네잎클로버 하우스,원미닛_마포구청역 럭셔리,#여성전용 #셰어하우스,84 / 42만원 (2인실)
자다,메리골드 후암1호점 Room A,#여성전용 #셰어하우스,70 / 35만원 (3인실)
자다,메리골드 후암2호점 Room A,#여성전용 #셰어하우스,78 / 39만원 (3인실)
소집,1호점 Room A,#여성전용 #셰어하우스,108 / 48만원 (2인실)
소집,2호점 Room A,#여성전용 #셰어하우스,108 / 54만원 (1인실)
모아네 쉐어하우스,마포구청역점 2인실(엔드),#여성전용 #셰어하우스,76 / 38만원 (2인실)
소집,3호점 Room A,#여성전용 #셰어하우스,108 / 54만원 (1인실)
아띠 쉐어빌리지,홍남하우스 홍대점 RoomE,#남성전용 #셰어하우스,50 / 40만원 (2인실)
아띠 쉐어빌리지,홍순하우스 홍대점 Room E,#여성전용 #셰어하우스,50 / 40만원 (2인실)
함께꿈꾸는마을,남산소월01 Room C,#남성전용 #셰어하우스,76 / 38만원 (2인실)
쉐어하우스 STAY,숙대입구점 ROOM D,#여성전용 #셰어하우스,100 / 38만원 (2인실)
팸하우스,페퍼스하우스 충무로 2호점 A ROOM,#여성전용 #셰어하우스,100 / 47만원 (2인실)
