매물명,성별전용,면적(㎡), 보증금(원) , 월세(원) ,인실(명),만실,건물형태,방(개),화장실(개),층,총층,전체면적(㎡),전체평수,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
쉐어하우스 리시안 사당역 3호(오픈),여,10,"1,000,000","500,000",1,O,빌라,4,2,,,,,개별난방,알수없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,서울특별시 동작구 사당동 4190158번지
쉐어하우스 리시안 사당역 3호(오픈),여,10,"1,000,000","500,000",1,O,빌라,4,2,,,,,개별난방,알수없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,서울특별시 동작구 사당동 4190158번지
복덕방 논현1호점,여,23.1,"1,000,000","570,000",1,X,빌라,4,1,4,4,60,18,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 학동로20길 44
복덕방 논현1호점,여,16.5,"1,200,000","560,000",1,X,빌라,4,1,4,4,60,18,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 학동로20길 44
복덕방 논현1호점,여,29.8,"800,000","450,000",2,X,빌라,4,1,4,4,60,18,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 학동로20길 44
복덕방 논현1호점,여,29.8,"800,000","450,000",2,X,빌라,4,1,4,4,60,18,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 학동로20길 44
양드레하우스 신논현점,여,9.9,"1,000,000","570,000",1,O,단독주택,3,1,,,74,22,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 24
양드레하우스 신논현점,여,13.2,"1,000,000","400,000",2,O,단독주택,3,1,,,74,22,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 24
양드레하우스 신논현점,여,14.9,"1,000,000","400,000",2,X,단독주택,3,1,,,74,22,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 24
We Live 당산점,여,15.8,"1,000,000","500,000",1,X,아파트,5,2,2,15,148,45,개별난방,있음,알수없음,불가능,불가능,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,서울특별시 영등포구 당산동5가 3304번지
