업체명,지점명,성별전용,보증금,월세,인실
동그라미 쉐어하우스,봉은사&삼성역점,남성전용,50만원,45만원,1인실
가가호호 쉐어하우스,관악점,남성전용,80만원,38만원,1인실
자몽 셰어하우스,고척동점,여성전용,300만원,30만원,1인실
쉐어하우스 소소한,서초 1호점,여성전용,140만원,47만원,2인실
쉐어하우스 withsomething,역삼점,남성전용,180만원,65만원,1인실
Sharehouse Cine,더 우드 건대점,여성전용,80만원,37만원,2인실
레미하우스,강남점,여성전용,100만원,50만원,2인실
잠자리,신림 대학동 : 21호점,남성전용,84만원,42만원,1인실
복덕방,강남세브란스점,여성전용,150만원,58만원,1인실
Sally's House,선릉역점,여성전용,100만원,31만원,2인실
복덕방,세브란스사거리점,여성전용,100만원,56만원,1인실
썸앤썸 쉐어하우스,삼전점,남성전용,100만원,45만원,1인실
모니카 하우스,잠실역점,여성전용,100만원,53만원,1인실
로이허브,천호점,여성전용,35만원,35만원,3인실
모니카 하우스,잠실3호점,여성전용,80만원,38만원,2인실
바다,암사동집 : 1층 101호,여성전용,100만원,33만원,1인실
모던 하우스,암사역점,여성전용,200만원,34만원,1인실
바다,암사동집 : 2층 201호,여성전용,100만원,37만원,1인실
모던 하우스,천호점,여성전용,200만원,32만원,1인실
양드레하우스,송파점,여성전용,100만원,40만원,2인실
모니카 하우스,잠실4호점,여성전용,80만원,44만원,2인실
제니하우스,송파나루 3호룸,여성전용,100만원,47만원,1인실
몽리(MONLIT),석촌점,여성전용,100만원,55만원,1인실
동그라미 쉐어하우스,석촌역 중간방a,성별무관,50만원,30만원,1인실
원앤원하우스,강동역 2호점,여성전용,200만원,32만원,2인실
가치,가톨릭대 정문 4호점,여성전용,100만원,31만원,2인실
스테이서울,하우스메이트 Room A,성별무관,50만원,50만원,1인실
Sharehouse Cine,오금역점,여성전용,70만원,35만원,2인실
Annie's house,수서역점,여성전용,200만원,50만원,1인실
함께꿈꾸는마을,송파문정마을 ROOM A,여성전용,70만원,35만원,3인실
쉐어하우스 cloud9,킨텍스 대화역점,여성전용,150만원,40만원,1인실
Blessing House,대화 킨텍스점,여성전용,80만원,39만원,1인실
복덕방,대치동 선릉역점,여성전용,100만원,48만원,1인실
다락,블랑하우스 Room C,남성전용,50만원,30만원,3인실
동그라미 쉐어하우스,선릉점,남성전용,50만원,38만원,1인실
앤스테이블,대치 401-2호,남성전용,4000만원,45만원,1인실
애플트리 쉐어하우스,선릉&한티점,남성전용,50만원,29만원,3인실
쉐어필링스,선릉역지점,여성전용,100만원,40만원,2인실
팸하우스,가산디지털단지점,여성전용,100만원,38만원,2인실
팸하우스,양재점,여성전용,100만원,32만원,4인실
팸하우스,매봉1호점,여성전용,100만원,25만원,4인실
팸하우스,매봉 2호점,여성전용,100만원,33만원,2인실
부천 이야기쉐어하우스,1호 고강점,남성전용,50만원,27만원,2인실
양재역 쉐어하우스,양재역점,여성전용,90만원,42만원,2인실
