매물명,성별전용,면적,보증금,월세,인실,만실,건물형태,방,화장실,층,전체면적,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
모아 문래역점,여성전용,9.9㎡,110만원,55만원,1인실,X,아파트,3개,2개,18층,84.75㎡,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로9나길 5
보더리스하우스 홍대3,여성전용,9.5㎡,50만원,43만원,2인실,X,아파트,3개,2개,4층,119㎡,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,X,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 성산동 245-19번지
보더리스하우스 홍대3,여성전용,9.5㎡,50만원,65만원,1인실,X,아파트,3개,2개,4층,119㎡,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,X,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 성산동 245-19번지
보더리스하우스 홍대3,여성전용,17.9㎡,50만원,43만원,3인실,X,아파트,3개,2개,4층,119㎡,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,X,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 성산동 245-19번지
오플랫 쉐어하우스 오플랫 신논현점,여성전용,10㎡,100만원,55만원,1인실,X,빌라,3개,1개,2층,80㎡,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 강남구 강남대로120길 45-4
오플랫 쉐어하우스 오플랫 신논현점,여성전용,10㎡,100만원,55만원,1인실,X,빌라,3개,1개,2층,80㎡,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 강남구 강남대로120길 45-4
오플랫 쉐어하우스 오플랫 신논현점,여성전용,15㎡,80만원,45만원,2인실,X,빌라,3개,1개,2층,80㎡,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 강남구 강남대로120길 45-4
동화 구디점,여성전용,15㎡,100만원,44만원,1인실,X,,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,서울특별시 구로구 도림천로 446
동화 구디점,여성전용,20㎡,100만원,33만원,2인실,X,,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,서울특별시 구로구 도림천로 446
동화 구디점,여성전용,30㎡,50만원,28만원,3인실,X,,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,서울특별시 구로구 도림천로 446
플레몬 쉐어하우스 7호점 (서교동),남성전용,13.2㎡,30만원,52만원,1인실,O,빌라,3개,1개,3층,40㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로33길 17
플레몬 쉐어하우스 7호점 (서교동),남성전용,9.9㎡,30만원,45만원,1인실,O,빌라,3개,1개,3층,40㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로33길 17
플레몬 쉐어하우스 7호점 (서교동),남성전용,9.9㎡,30만원,40만원,1인실,O,빌라,3개,1개,3층,40㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로33길 17
팸하우스 세종대점,여성전용,,100만원,37만원,2인실,X,빌라,3개,2개,,46.61㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,서울특별시 광진구 동일로56길 42
팸하우스 세종대점,여성전용,,100만원,34만원,2인실,X,빌라,3개,2개,,46.61㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,서울특별시 광진구 동일로56길 42
팸하우스 세종대점,여성전용,,100만원,34만원,2인실,X,빌라,3개,2개,,46.61㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,서울특별시 광진구 동일로56길 42
하우스로그 안암5호점,여성전용,10㎡,88만원,44만원,1인실,O,빌라,3개,1개,1층,59㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,서울 성북구 고려대로1길 72
하우스로그 안암5호점,여성전용,11㎡,880만원,44만원,1인실,O,빌라,3개,1개,1층,59㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,서울 성북구 고려대로1길 72
